ID,X3,X4,X5,X6,X11,X12,X13,X14,X15,Y
729,17.1,3,392,281,3.5,51.9,0.93,1.58,6.15,3.4
730,19.9,4.2,419,359,2.5,51.8,1.91,1.57,9.96,3.4
731,18.4,4,426,359,2.5,46.8,1.91,1.57,9.96,3.4
732,19.5,3.05,334,349,2.7,40.6,3.62,2.63,9.14,4.2
733,18.5,3.27,322,338,2.5,37.8,1.18,1.54,10.82,5.121
734,16,3.1,322,370,3.5,39,1.02,1.04,12.31,7.4
735,28.8,3.3,290,380,3.5,50.5,0.99,1.09,11.11,6.1
736,21.1,3.8,317,365,3,42.7,1.9,2.2,10.06,4.7916
737,15.8,3.15,326,356,3.5,48.1,3.59,2.56,9.11,5
738,22,4,369,355,3.5,47.5,1.34,1.83,8.27,4.2
739,17.9,6.6,460,219,3.5,56.4,1.49,0.84,8.76,2.6
740,15.5,4.2,421,372,2.5,41.6,1.89,1.22,9.11,4.4
741,15.6,0.8,321,372,3,27.4,0.96,2.13,9.32,2.4
742,21.5,4.45,405,321,3.5,52.1,0.97,1.41,7.21,4
743,27.7,3.8,397,273,3.5,42,0.96,1.18,6.14,3.6
744,15.7,2.3,305,364,2,23.6,1.15,0.98,11.57,6.6
745,17.9,3.8,326,368,2.5,44,1.02,1.07,12.31,5.6
746,16.8,4.5,310,388,3,36,1.02,0.84,11.96,9.6
747,18.6,2.8,352,346,3.5,47.7,1.32,1.84,8.56,3.95
748,15.4,3,303,388,2.5,31.8,1.02,0.84,11.96,7.9
749,14.7,2.6,374,273,2,25.4,0.96,1.18,6.14,3.6
750,16.7,4.9,459,368,3,40.6,0.66,1.42,9.01,6
751,27.1,3.1,289,380,4,55.5,0.99,1.09,11.11,5.6
752,18.9,7.9,459,219,3.5,73,1.49,0.84,8.76,2.6
753,17.9,3.69,326,350,3,42.5,1.18,1.54,10.82,4.725
754,16.4,3.5,327,369,2.5,37.5,1.02,1.06,12.3,8.3
755,14.2,2.3,325,375,2,26.8,2.17,2.52,8.19,3.6
756,16.2,5.1,332,374,3,44.5,1.51,1.63,11.56,7.8
757,24.3,2.8,337,349,3.3,46.2,3.62,2.63,9.14,3.35
758,16.4,3.07,276,374,3.5,46.2,1.76,2.76,11.06,6.2
759,14.8,3.95,368,355,2,36.8,1.34,1.83,8.27,4.35
760,16.9,3,341,348,3,34.2,1.42,1.05,11.78,7
761,24.9,3.1,302,331,3.7,42,2.95,2.16,9.49,4.6
762,16.3,2.5,322,369,2.5,29.5,1.02,1.06,12.3,5.8
763,17.9,6.5,461,366,2.5,48.6,1.49,0.84,8.76,4.7
764,16,2.5,335,351,3.5,33.2,2.1,2.15,8.28,3.4
765,17.5,3.9,305,354,3.5,43.2,0.86,1.53,13.78,9.2
766,15.3,3.32,324,350,2.5,34.2,1.18,1.54,10.82,5.494
767,15.3,4,319,343,2.7,41.1,1.98,1.28,9.8,7.4
768,17.4,2.45,330,356,3.7,55.5,3.59,2.56,9.11,4.25
769,16.7,6.6,458,219,2.5,44.2,1.49,0.84,8.76,2.9
770,18.8,4,422,359,2.5,56.6,1.91,1.57,9.96,3.2
771,16,7,461,219,3,57.4,1.49,0.84,8.76,2.4
772,15.3,2.8,366,355,2.7,40.4,1.34,1.83,8.27,4.7
773,16.7,3.1,323,375,2,28.4,2.17,2.52,8.19,4.6
774,15.5,2.6,336,351,3,34,2.1,2.15,8.28,3.5
775,15,2.1,341,348,3,31,1.42,1.05,11.78,6.1
776,14.1,2.2,396,270,3.5,39.2,0.96,1.18,6.14,3
777,15.1,3.6,302,388,3.5,35.9,1.02,0.84,11.96,8.2
778,19.3,2.7,319,375,4,57.7,0.72,2.6,8.92,6.8
779,25.5,3.8,309,354,3,50,0.86,1.53,13.78,7.2
780,30.1,4.2,417,359,3,61.2,1.91,1.57,9.96,2.3
781,23.1,2.2,293,376,5,68.1,1.78,2.59,8.48,3
782,18.5,3.9,330,374,3,44.3,1.51,1.63,11.56,7
783,15.8,3.3,475,371,2.5,26.8,0.72,1.49,9.77,5.3
784,12.8,2.5,366,355,2.7,36.4,1.34,1.83,8.27,3.8
785,17,2.1,324,360,3.5,23.4,0.96,2.13,9.32,3.6
786,20.3,2.62,279,373,3.5,53.2,1.76,2.76,11.06,4.2
787,14.1,2,326,369,2,26.5,1.02,1.06,12.3,6
788,20.8,2.4,394,273,3,30.8,0.96,1.18,6.14,3.6
789,13.4,3.6,459,368,2.5,40.8,0.66,1.42,9.01,4.7
790,18.1,3,327,375,2,27.6,2.17,2.52,8.19,4
791,19.3,3.5,281,358,3.5,47.7,2.36,2.98,10.01,7.5
792,12.8,4.8,458,368,3,39.8,0.66,1.42,9.01,5
793,29.2,2.6,375,273,3,39.8,0.96,1.18,6.14,3.2
794,16.4,3.2,419,359,2.5,56,1.91,1.57,9.96,2.6
795,16.8,3.75,327,356,3,44.1,3.59,2.56,9.11,7.15
796,14.4,2.38,320,366,3,21.7,0.99,1.07,10.15,5.6
797,14.7,2.4,392,280,3.5,50.9,0.93,1.58,6.09,2.9
798,18.6,3.9,328,368,3.5,44.2,1.02,1.07,12.31,6.5
799,20.7,3.6,332,359,3.5,48.1,0.71,2.56,8.67,5.4
800,17.7,3.8,305,354,3,37.8,0.86,1.53,13.78,9.1
801,22.3,4.3,328,368,4,51.8,1.02,1.07,12.31,5.5
802,15.1,3.79,321,366,3,45.9,0.99,1.07,10.15,6.88
803,16,3.8,437,371,2.5,40.1,0.89,1.14,7.35,7.1
804,21.7,2.8,318,371,3,35.2,2.15,2.51,8.28,3.5
805,25,4.1,465,366,2.5,53.2,1.49,0.84,8.76,3.1
806,13,3,299,373,3.5,53.3,1.8,2.54,8.43,4.8
807,21.5,4.5,468,366,3,54.2,1.49,0.84,8.76,3.5
808,16.1,3.5,331,373,3.5,53.7,1.51,1.63,11.56,5.2
809,21.5,4.2,329,374,2.5,39.6,1.51,1.63,11.56,5.8
810,17,3.74,309,365,2.5,40.1,2.46,3.13,10.22,7.352
811,16,5.8,458,366,2.5,43.3,1.49,0.84,8.76,4
812,17.7,4.4,418,359,2.5,49,1.91,1.57,9.96,4.6
813,16,2.9,302,331,2.5,27.5,2.95,2.16,9.49,4.3
814,17.6,3.9,363,299,3.5,54.3,1.61,1.19,10.43,4.7
815,26.2,4.8,462,366,3,62.6,1.49,0.84,8.76,3.6
816,16.3,5,293,376,4,60.1,1.78,2.59,8.48,4.8
817,19.4,4,424,359,2.5,59.4,1.91,1.57,9.96,3.5
818,24.1,4.2,423,372,2.5,61.4,1.89,1.22,9.11,3.9
819,24,4.7,341,348,3.5,41,1.42,1.05,11.78,6.6
820,15,4.7,437,371,2.7,41.3,0.89,1.14,7.35,6.6
821,16.7,2.1,324,372,3.5,25.6,0.96,2.13,9.32,3.4
822,19.2,4.1,303,331,3.5,33,2.95,2.16,9.49,4.9
823,17.9,4.2,418,359,2.5,60.8,1.91,1.57,9.96,3.5
824,18.1,4.2,326,375,2,28.8,2.17,2.52,8.19,6
825,17.7,3.2,293,376,4.5,67.3,1.78,2.59,8.48,4.8
826,17.3,4.29,310,370,4,60.5,1.91,2.19,10.11,7.016
827,15.2,2,372,273,3,36,0.96,1.18,6.14,2.9
828,15,2.2,322,359,3,22.2,0.96,2.17,9.29,3.1
829,24.3,3.8,425,372,3.5,60.6,1.89,1.22,9.11,4.4
830,16.1,2.6,298,373,3.5,48.1,1.8,2.54,8.43,3.8
831,18.8,4.2,424,359,2.5,57.4,1.91,1.57,9.96,3
832,16.8,4.3,306,352,3,45.6,1.53,2.27,12.85,6.5
833,18.1,4.6,423,359,2.5,52.8,1.91,1.57,9.96,4
834,15.6,2.85,353,346,3.5,47.7,1.32,1.84,8.56,4.25
835,20.5,4.9,369,355,3.5,47.7,1.34,1.83,8.27,2.95
836,16.4,5.7,473,363,2.5,42.8,1.67,1.09,9.02,5.6
837,16.3,2.6,373,273,2.5,43,0.96,1.18,6.14,3.5
838,15.7,2.9,396,278,3.5,51.1,0.93,1.58,6.04,2.7
839,16.8,4,465,371,2.5,38.4,0.72,1.49,9.77,4.2
840,16.9,5.12,312,370,3.5,51.9,1.91,2.19,10.11,6.447
841,24.7,3.61,315,369,4,55.6,2.47,3.12,10.22,5.208
842,16.7,4.4,428,359,2.5,56.4,1.91,1.57,9.96,4.3
843,14.7,1.9,325,375,2,30.2,2.17,2.52,8.19,3.5
844,20.8,2.4,332,359,3.5,48.6,0.71,2.56,8.67,4.6
845,16.8,4.2,289,379,3,51.5,0.99,1.09,11.11,8.8
846,14.8,3.3,321,343,2.5,39.7,1.98,1.28,9.8,6.3
847,15,2.8,321,343,2.7,40.5,1.98,1.28,9.8,5.5
848,12.8,4.7,464,368,3.5,44.4,0.66,1.42,9.01,2.8
849,13.7,4,401,357,4,62.3,0.97,1.41,7.21,5.6
850,16.5,2.8,335,351,3.5,34.8,2.1,2.15,8.28,4.2
851,19,2.2,391,281,3.5,54.5,0.93,1.58,6.15,2.8
852,13.9,1.85,321,366,3,23.1,0.99,1.07,10.15,3.42
853,16,2.3,335,351,2.5,34.4,2.1,2.15,8.28,4.3
